URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Avg. views,Engaged minutes,Avg. minutes,New vis.,Views new vis.,Avg. views new vis.,Minutes New Vis.,Avg. minutes new vis.,Returning vis.,Views ret. vis.,Avg. views ret. vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Pi refs,Social interactions,Fb interactions,Pi interactions,Channel vis.,Website views,AMP views,Fb instant views,Post id,High-Level Smart Tags,Low-Level Smart Tags
https://indyweek.com/,INDY Week,,Staff,Uncategorized,,18670,8130,18670,2.296,7666,0.943,6009,7656,1.163,2538,0.385,2121,11014,5.193,5127,2.417,11277.0,7096,297,2307.0,2061.0,109.0,13385.0,136.0,33.0,2.0,,107,107,,,,,,,,
http://indyweek.com/food-and-drink/40-a-day-in-durham-20-years-later/,"$40 a Day in Durham, 20 Years Later",2024-12-09 12:18,Lena Geller,Food & Drink,,7494,6384,7494,1.174,17910,2.805,5006,5664,1.081,12124,2.313,1378,1830,1.328,5785,4.198,1684.0,5617,193,2684.0,377.0,1351.0,2467.0,577.0,93.0,92.0,,37,37,,,7494,,,http://indyweek.com/food-and-drink/40-a-day-in-durham-20-years-later/,"Alcohol,Coffee/Tea,Cooking, Baking & Desserts,Dining Out,Food & Drink","Meal,Restaurant"
http://indyweek.com/food-and-drink/how-southern-season-a-chapel-hill-foodie-dream-met-its-end/,"How Southern Season, a Chapel Hill Foodie Dream, Met Its End",2024-12-19 13:30,Bill Arthur,Food & Drink,,7163,5760,7163,1.244,32971,5.724,4356,5233,1.076,23175,4.767,1404,1930,1.375,9796,6.977,1283.0,5645,235,3214.0,384.0,1294.0,1451.0,805.0,755.0,24.0,,54,54,,,7163,,,http://indyweek.com/food-and-drink/how-southern-season-a-chapel-hill-foodie-dream-met-its-end/,"Alcohol,Business,Coffee/Tea,Cooking, Baking & Desserts,Dining Out,Food & Drink,Shopping",
http://indyweek.com/culture/art/in-hillsborough-a-magical-solstice-lantern-walk-on-the-longest-night-of-the-year/,"In Hillsborough, a Magical Solstice Lantern Walk Through the Longest Night of the Year",2024-12-17 10:44,Sarah Edwards,Art,,5074,4061,5074,1.249,6558,1.615,3291,3962,1.121,4166,1.179,770,1112,1.444,2391,3.105,742.0,4199,133,3112.0,239.0,66.0,1447.0,123.0,54.0,32.0,,9,9,,,5074,,,http://indyweek.com/culture/art/in-hillsborough-a-magical-solstice-lantern-walk-on-the-longest-night-of-the-year/,"Science,Space/Astronomy","Puppetry,Solstice"
http://indyweek.com/news/wake/florida-firm-plans-mixed-use-housing-development-on-saint-augustines-university-property-in-downtown-raleigh/,Florida Firm Plans Mixed-Use Housing Development on Saint Augustine’s University Property in Downtown Raleigh,2024-12-19 20:02,Chloe Courtney Bohl,Wake County,,4566,3687,4566,1.238,7787,2.112,2961,3590,1.13,4964,1.562,726,976,1.344,2822,3.887,764.0,3759,43,888.0,243.0,801.0,1846.0,714.0,537.0,24.0,,16,16,,,4566,,,http://indyweek.com/news/wake/florida-firm-plans-mixed-use-housing-development-on-saint-augustines-university-property-in-downtown-raleigh/,"Business,Credit, Debt & Loans,Education,Finance,Government,Law, Gov’t & Politics,Legal Issues,Real Estate",
http://indyweek.com/best-of-the-triangle/indys-2024-best-of-the-triangle-winners/,INDY’s 2024 Best of the Triangle Winners,2024-12-11 10:54,INDY Sales,Best of the Triangle,"best of 2024,best of the triangle,best of winner",3018,2435,3018,1.239,7993,3.283,1848,2137,1.107,4647,2.408,587,881,1.501,3345,5.698,1340.0,1566,112,703.0,492.0,368.0,1143.0,169.0,53.0,22.0,,102,102,,,3018,,,http://indyweek.com/best-of-the-triangle/indys-2024-best-of-the-triangle-winners/,"Alcohol,Cooking, Baking & Desserts,Dining Out,Food & Drink","Durham, North Carolina,Research Triangle"
http://indyweek.com/news/wake/amazon-fires-worker-who-founded-union-movement-at-rdu1-warehouse/,Amazon Fires Worker Who Founded Union Movement at RDU1 Warehouse,2024-12-11 11:02,Lena Geller,Wake County,,2949,2479,2949,1.19,4450,1.795,2049,2389,1.104,2970,1.372,430,560,1.302,1480,3.442,949.0,1906,94,431.0,224.0,128.0,1223.0,924.0,41.0,39.0,,3,3,,,2949,,,http://indyweek.com/news/wake/amazon-fires-worker-who-founded-union-movement-at-rdu1-warehouse/,"Business,Government,Law, Gov’t & Politics,Politics",Amazon worker organization
http://indyweek.com/news/wake/greyhound-wont-be-part-of-raleighs-downtown-transit-hub-when-it-opens-next-year/,Greyhound Won’t Be Part of Raleigh’s Downtown Transit Hub When It Opens Next Year,2024-12-12 14:25,Chloe Courtney Bohl,Wake County,,2173,2019,2173,1.076,3299,1.634,1607,1667,1.037,2296,1.428,412,506,1.228,1002,2.432,811.0,1298,64,136.0,226.0,903.0,745.0,149.0,78.0,30.0,,8,8,,,2173,,,http://indyweek.com/news/wake/greyhound-wont-be-part-of-raleighs-downtown-transit-hub-when-it-opens-next-year/,,"GoRaleigh,GoTriangle,Greyhound Lines,Intermodal passenger transport,Raleigh Union Station"
http://indyweek.com/food-and-drink/north-carolina-oyster-farmer-ryan-bethea-on-making-oysters-accessible-across-the-state/,North Carolina Oyster Farmer Ryan Bethea On Making Oysters Accessible Across the State,2024-12-15 12:03,Lena Geller,Food & Drink,,2163,1796,2163,1.204,3452,1.922,1422,1662,1.106,2273,1.512,374,501,1.34,1178,3.15,647.0,1452,64,832.0,157.0,24.0,1009.0,116.0,55.0,15.0,,57,57,,,2163,,,http://indyweek.com/food-and-drink/north-carolina-oyster-farmer-ryan-bethea-on-making-oysters-accessible-across-the-state/,"Alcohol,Food & Drink,Science",
http://indyweek.com/culture/an-elite-running-team-grows-in-the-triangle/,An Elite Running Team Grows in the Triangle,2024-11-27 11:47,Lauren Wingenroth,Etc.,,2023,1707,2023,1.185,3761,2.203,1423,1624,1.07,2552,1.681,284,399,1.405,1208,4.254,573.0,1352,98,634.0,146.0,25.0,911.0,307.0,304.0,,,25,25,,,2023,,,http://indyweek.com/culture/an-elite-running-team-grows-in-the-triangle/,"Exercise,Health & Fitness,Sports","Amy Cragg,Durham, North Carolina"
