URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Avg. views,Engaged minutes,Avg. minutes,New vis.,Views new vis.,Avg. views new vis.,Minutes New Vis.,Avg. minutes new vis.,Returning vis.,Views ret. vis.,Avg. views ret. vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Pi refs,Social interactions,Fb interactions,Pi interactions,Channel vis.,Website views,AMP views,Fb instant views,Post id,High-Level Smart Tags,Low-Level Smart Tags
https://indyweek.com/,INDY Week,,Staff,Uncategorized,,22832,10165,22832,2.246,9692,0.953,7206,9850,1.252,3243,0.412,2959,12982,4.387,6448,2.179,13179.0,9306,347,3441.0,2994.0,127.0,15023.0,155.0,50.0,5.0,,,,,,,,,,,
http://indyweek.com/news/mark-robinson-spends-election-day-and-night-in-the-triangle-sanguine-defiant-and-looking-to-the-future/,"Mark Robinson Spends Election Day and Night in the Triangle—Sanguine, Defiant, and Looking to the Future",2024-11-08 16:38,Chase Pellegrini de Paur,News,2024 elections,18988,18442,18988,1.03,14021,0.76,17608,18121,1.004,12386,0.686,834,867,1.04,1634,1.959,990.0,17922,76,580.0,203.0,17243.0,692.0,220.0,23.0,18.0,,32,32,,,18988,,,http://indyweek.com/news/mark-robinson-spends-election-day-and-night-in-the-triangle-sanguine-defiant-and-looking-to-the-future/,"Law, Gov’t & Politics,Politics",
http://indyweek.com/news/wake/wake-county-election-results-cowell-wins-raleigh-mayors-race-in-landslide-democrats-win-judicial-races/,"Wake County Election Results: Cowell Wins Raleigh Mayor’s Race in Landslide, Democrats Win Judicial Races",2024-11-06 12:29,Chloe Courtney Bohl,Wake County,2024 elections,9480,7695,9480,1.232,16571,2.153,6398,7837,1.144,11613,1.695,1297,1643,1.267,4957,3.822,2632.0,6668,180,7334.0,435.0,814.0,882.0,10.0,6.0,,,1,1,,,9480,,,http://indyweek.com/news/wake/wake-county-election-results-cowell-wins-raleigh-mayors-race-in-landslide-democrats-win-judicial-races/,"Law, Gov’t & Politics,Politics","Democratic Party (United States),Kamala Harris,Mary-Ann Baldwin,Nancy McFarlane,Wake County, North Carolina"
http://indyweek.com/news/across-the-triangle-voters-say-yes-to-bonds-except-in-cary/,"Across the Triangle, Voters Say Yes to Bonds—Except in Cary",2024-11-06 00:55,INDY staff,Durham County,2024 elections,9140,8017,9140,1.14,15416,1.923,6617,7492,1.062,10092,1.431,1400,1648,1.177,5324,3.803,2428.0,6556,156,5421.0,640.0,1350.0,1368.0,348.0,33.0,21.0,,,,,,9140,,,http://indyweek.com/news/across-the-triangle-voters-say-yes-to-bonds-except-in-cary/,"Business,Construction,Law, Gov’t & Politics","Affordable housing,Wake County, North Carolina"
http://indyweek.com/news/2024-nc-election-raleigh-durham-chapel-hill-live-results/,"LIVE: Cowell Wins Raleigh Mayoral Race, Most Triangle Incumbents Re-Elected",2024-11-05 06:30,INDY staff,Elections,2024 elections,6434,4542,6434,1.417,7224,1.59,3528,4324,1.137,3279,0.862,1014,2110,2.081,3944,3.89,2325.0,4073,36,3637.0,859.0,235.0,1406.0,272.0,48.0,146.0,,24,24,,,6434,,,http://indyweek.com/news/2024-nc-election-raleigh-durham-chapel-hill-live-results/,"Law, Gov’t & Politics,Politics",
http://indyweek.com/news/elections-news/the-indys-2024-general-election-endorsements/,The INDY’s 2024 General Election Endorsements,2024-10-16 05:00,INDY staff,Elections,2024 elections,4771,3083,4771,1.548,15546,5.042,2163,3318,1.309,10370,4.092,920,1453,1.579,5176,5.626,1877.0,2872,22,1755.0,2083.0,56.0,750.0,115.0,51.0,11.0,,68,68,,,4771,,,http://indyweek.com/news/elections-news/the-indys-2024-general-election-endorsements/,"Education,Law, Gov’t & Politics,Legal Issues","Carrboro, North Carolina,Early voting,Election,Elections in the United Kingdom,Raleigh, North Carolina,Research Triangle,Voting,Wake County, North Carolina"
http://indyweek.com/news/wake/in-raleighs-seven-city-council-races-most-incumbents-hang-on-while-district-a-elects-a-former-planning-director/,"In Raleigh’s Seven City Council Races, Most Incumbents Hang On While District A Elects a Former Planning Director",2024-11-06 00:29,INDY staff,Wake County,2024 elections,4463,3749,4463,1.19,6886,1.837,2895,3439,1.101,4206,1.346,854,1024,1.199,2680,3.138,1341.0,3087,35,3118.0,576.0,229.0,454.0,80.0,9.0,71.0,,,,,,4463,,,http://indyweek.com/news/wake/in-raleighs-seven-city-council-races-most-incumbents-hang-on-while-district-a-elects-a-former-planning-director/,"Law, Gov’t & Politics,Politics",
http://indyweek.com/elections/,Election Guide,,Staff,Uncategorized,,3491,2134,3491,1.636,1425,0.668,1627,2628,1.536,926,0.541,507,863,1.702,499,0.984,1680.0,1794,17,1044.0,1469.0,4.0,822.0,52.0,13.0,10.0,,14,14,,,,,,,,
http://indyweek.com/news/all-triangle-incumbents-retain-current-nc-house-and-senate-seats-but-gop-looks-to-have-picked-up-two-seats-in-wake-county/,"All Triangle Incumbents Retain Current NC House and Senate Seats, But GOP Looks to Have Picked Up Two Seats in Wake County",2024-11-07 13:17,INDY staff,News,2024 elections,3024,2587,3024,1.169,3911,1.512,2090,2404,1.089,2417,1.095,497,620,1.247,1494,3.006,910.0,2034,80,1869.0,298.0,244.0,591.0,15.0,12.0,,,3,3,,,3024,,,http://indyweek.com/news/all-triangle-incumbents-retain-current-nc-house-and-senate-seats-but-gop-looks-to-have-picked-up-two-seats-in-wake-county/,"Law, Gov’t & Politics,Legal Issues,Politics",Republican Party (United States)
http://indyweek.com/news/wake/nc-state-students-demand-accountability-for-pcbs-found-on-campus/,NC State Students Demand Accountability for PCBs Found on Campus,2024-11-20 07:40,Christine Zhu,Wake County,,2911,2702,2911,1.077,2344,0.868,2356,2499,1.036,1724,0.714,346,412,1.191,619,1.789,386.0,2494,31,1561.0,97.0,263.0,359.0,626.0,6.0,6.0,,13,13,,,2911,,,http://indyweek.com/news/wake/nc-state-students-demand-accountability-for-pcbs-found-on-campus/,"Cancer,Health & Fitness,Science","Environmental justice,North Carolina State University,Polychlorinated biphenyl"
