URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Avg. views,Engaged minutes,Avg. minutes,New vis.,Views new vis.,Avg. views new vis.,Minutes New Vis.,Avg. minutes new vis.,Returning vis.,Views ret. vis.,Avg. views ret. vis.,Minutes Ret. Vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Pi refs,Social interactions,Fb interactions,Pi interactions,Channel vis.,Website views,AMP views,Fb instant views,Post id,High-Level Smart Tags,Low-Level Smart Tags
https://indyweek.com/,INDY Week,,Staff,Uncategorized,,30685,13358,30685,2.297,12717,0.952,9846,15719,1.403,5009,0.447,3512,14966,4.261,7707,2.194,18873.0,11391,421,6033.0,5298.0,198.0,16979.0,185.0,42.0,12.0,,,,,,,,,,,
http://indyweek.com/news/elections-news/the-indys-2024-general-election-endorsements/,The INDY’s 2024 General Election Endorsements,2024-10-16 05:00,INDY staff,Elections,2024 elections,28401,16843,28401,1.686,96157,5.709,11603,18999,1.334,61487,4.316,5240,9402,1.794,34670,6.616,11012.0,17202,187,10705.0,9918.0,582.0,5942.0,1084.0,331.0,129.0,,15,15,,,28401,,,http://indyweek.com/news/elections-news/the-indys-2024-general-election-endorsements/,"Education,Law, Gov’t & Politics,Legal Issues","Carrboro, North Carolina,Early voting,Election,Elections in the United Kingdom,Raleigh, North Carolina,Research Triangle,Voting,Wake County, North Carolina"
http://indyweek.com/elections/,Election Guide,,Staff,Uncategorized,,13961,7850,13961,1.778,6215,0.792,5764,9868,1.525,3810,0.589,2086,4093,1.962,2405,1.153,6816.0,7062,83,3483.0,7118.0,42.0,2899.0,45.0,14.0,21.0,,6,6,,,,,,,,
http://indyweek.com/news/elections-news/candidate-questionnaire-mark-boone-wake-county-soil-and-water-conservation-district-supervisor/,"Candidate Questionnaire: Mark Boone, Wake County Soil and Water Conservation District Supervisor",2024-10-16 20:39,INDY staff,Elections,"2024 candidate questionnaire,2024 elections",11112,9440,11112,1.177,13026,1.38,8620,10086,1.136,10798,1.216,820,1026,1.251,2227,2.716,4949.0,6070,93,9914.0,558.0,24.0,356.0,14.0,14.0,,,,,,,11112,,,http://indyweek.com/news/elections-news/candidate-questionnaire-mark-boone-wake-county-soil-and-water-conservation-district-supervisor/,Science,"Agriculture,Natural resource,Soil,Water"
http://indyweek.com/news/elections-news/2024-voter-guide/,INDY’s 2024 General Election Voter Guide (downloadable!),2024-10-16 07:49,INDY staff,Elections,2024 elections,8426,6099,8426,1.382,7177,1.177,4489,6126,1.215,4217,0.837,1610,2300,1.429,2959,1.838,3356.0,5016,54,3134.0,3763.0,15.0,709.0,74.0,40.0,30.0,,20,20,,,8426,,,http://indyweek.com/news/elections-news/2024-voter-guide/,,
http://indyweek.com/news/wake/poll-volunteers-accuse-nc-rep-erin-pare-and-husband-wayne-of-intimidation-at-early-voting-sites/,Poll Volunteers Accuse NC Rep. Erin Paré and Husband Wayne of Intimidation at Early Voting Sites,2024-10-29 16:23,"Chloe Courtney Bohl,Jane Porter",Wake County,2024 elections,6975,6145,6975,1.135,15141,2.464,5062,5664,1.065,10654,2.003,1083,1311,1.211,4486,4.142,1620.0,5292,63,931.0,311.0,154.0,2234.0,3339.0,560.0,648.0,,127,127,,,6975,,,http://indyweek.com/news/wake/poll-volunteers-accuse-nc-rep-erin-pare-and-husband-wayne-of-intimidation-at-early-voting-sites/,"Law, Gov’t & Politics,Legal Issues,Politics",Email
http://indyweek.com/news/wake/wake-county-school-board-elections-are-nonpartisan-in-name-only/,Wake County School Board Elections Are Nonpartisan In Name Only,2024-10-02 13:41,Chloe Courtney Bohl,Wake County,2024 elections,4960,3972,4960,1.249,8703,2.191,3325,3943,1.135,6088,1.753,647,1017,1.572,2614,4.04,2372.0,2543,45,2582.0,717.0,128.0,1256.0,193.0,122.0,18.0,,57,57,,,4960,,,http://indyweek.com/news/wake/wake-county-school-board-elections-are-nonpartisan-in-name-only/,"College Administration,Education,Law, Gov’t & Politics,Legal Issues,Politics","Democratic Party (United States),Discrimination,Far-right politics,Parents' Bill of Rights,Republican Party (United States),Title IX,Wake County, North Carolina"
http://indyweek.com/news/elections-news/2024-elections/,INDY’s 2024 Election Coverage,2024-09-29 16:03,INDY staff,Elections,2024 elections,4468,2892,4468,1.545,2165,0.749,2130,3032,1.36,1361,0.61,762,1436,1.885,803,1.054,2429.0,1992,47,1024.0,2678.0,3.0,727.0,13.0,7.0,6.0,,,,,,4468,,,http://indyweek.com/news/elections-news/2024-elections/,,
http://indyweek.com/news/hurricane-helene-relief-support-moves-forward-in-the-triangle/,Hurricane Helene Relief Efforts Move Forward in the Triangle,2024-09-30 20:16,Sarah Edwards,North Carolina,,3527,2666,3527,1.323,4273,1.603,2182,2757,1.199,2678,1.165,484,770,1.591,1595,3.295,1756.0,1738,33,1296.0,358.0,99.0,1198.0,327.0,100.0,49.0,,,,,,3527,,,http://indyweek.com/news/hurricane-helene-relief-support-moves-forward-in-the-triangle/,"Science,Weather","Durham, North Carolina,Federal Emergency Management Agency,Hurricane Florence,Hurricane Helene (1958),Western North Carolina"
http://indyweek.com/news/the-closure-of-an-east-durham-pharmacy-leaves-a-hole-in-the-community/,The Closure of an East Durham Pharmacy Leaves a Hole in the Community,2024-10-10 11:51,Chase Pellegrini de Paur,News,,3351,3099,3351,1.081,3524,1.137,2723,2894,1.06,2546,0.932,376,457,1.215,977,2.598,408.0,2908,35,944.0,145.0,1579.0,493.0,164.0,33.0,81.0,,22,22,,,3351,,,http://indyweek.com/news/the-closure-of-an-east-durham-pharmacy-leaves-a-hole-in-the-community/,Health & Fitness,"CVS Health,Pharmacy,Pharmacy (shop),Pharmacy benefit management"
